Instantiated DTM.
Cyc=        70 Op1=[0x80000000] Op2=[0x00000000] W[_,20= 0xfffffffe] [_,0x800000b7]   62     PC=(0x80000168,0x80000164,0x80000160) [13, 55, 99], WB: DASM(25df1a63)
Cyc=        71 Op1=[0x80000000] Op2=[0xffffffff] W[W, 1= 0x80000000] [_,0xfff08093]   63     PC=(0x8000016c,0x80000168,0x80000164) [13, 19, 55], WB: DASM(800000b7)
Cyc=        72 Op1=[0x7fffffff] Op2=[0x00000400] W[W, 1= 0x7fffffff] [_,0x4000df13]   64     PC=(0x80000170,0x8000016c,0x80000168) [37, 19, 19], WB: DASM(fff08093)
Cyc=        73 Op1=[0x80000000] Op2=[0x00000000] W[W,30= 0x7fffffff] [_,0x80000eb7]   65     PC=(0x80000174,0x80000170,0x8000016c) [13, 55, 19], WB: DASM(4000df13)
Cyc=        74 Op1=[0x80000000] Op2=[0xffffffff] W[W,29= 0x80000000] [_,0xfffe8e93]   66     PC=(0x80000178,0x80000174,0x80000170) [13, 19, 55], WB: DASM(80000eb7)
Cyc=        75 Op1=[0x00000000] Op2=[0x00000007] W[W,29= 0x7fffffff] [_,0x00700193]   67     PC=(0x8000017c,0x80000178,0x80000174) [63, 19, 19], WB: DASM(fffe8e93)
Cyc=        76 Op1=[0x7fffffff] Op2=[0x7fffffff] W[W, 3= 0x00000007] [_,0x23df1c63]   68     PC=(0x80000180,0x8000017c,0x80000178) [37, 99, 19], WB: DASM(00700193)
Cyc=        77 Op1=[0x80000000] Op2=[0x00000000] W[_,24= 0xfffffffe] [_,0x800000b7]   69     PC=(0x80000184,0x80000180,0x8000017c) [13, 55, 99], WB: DASM(23df1c63)
Cyc=        78 Op1=[0x80000000] Op2=[0xffffffff] W[W, 1= 0x80000000] [_,0xfff08093]   70     PC=(0x80000188,0x80000184,0x80000180) [13, 19, 55], WB: DASM(800000b7)
Cyc=        79 Op1=[0x7fffffff] Op2=[0x00000401] W[W, 1= 0x7fffffff] [_,0x4010df13]   71     PC=(0x8000018c,0x80000188,0x80000184) [37, 19, 19], WB: DASM(fff08093)
Cyc=        80 Op1=[0x40000000] Op2=[0x00000000] W[W,30= 0x3fffffff] [_,0x40000eb7]   72     PC=(0x80000190,0x8000018c,0x80000188) [13, 55, 19], WB: DASM(4010df13)
Cyc=        81 Op1=[0x40000000] Op2=[0xffffffff] W[W,29= 0x40000000] [_,0xfffe8e93]   73     PC=(0x80000194,0x80000190,0x8000018c) [13, 19, 55], WB: DASM(40000eb7)
Cyc=        82 Op1=[0x00000000] Op2=[0x00000008] W[W,29= 0x3fffffff] [_,0x00800193]   74     PC=(0x80000198,0x80000194,0x80000190) [63, 19, 19], WB: DASM(fffe8e93)
Cyc=        83 Op1=[0x3fffffff] Op2=[0x3fffffff] W[W, 3= 0x00000008] [_,0x21df1e63]   75     PC=(0x8000019c,0x80000198,0x80000194) [37, 99, 19], WB: DASM(00800193)
Cyc=        84 Op1=[0x80000000] Op2=[0x00000000] W[_,28= 0x7ffffffe] [_,0x800000b7]   76     PC=(0x800001a0,0x8000019c,0x80000198) [13, 55, 99], WB: DASM(21df1e63)
Cyc=        85 Op1=[0x80000000] Op2=[0xffffffff] W[W, 1= 0x80000000] [_,0xfff08093]   77     PC=(0x800001a4,0x800001a0,0x8000019c) [13, 19, 55], WB: DASM(800000b7)
Cyc=        86 Op1=[0x7fffffff] Op2=[0x00000407] W[W, 1= 0x7fffffff] [_,0x4070df13]   78     PC=(0x800001a8,0x800001a4,0x800001a0) [37, 19, 19], WB: DASM(fff08093)
Cyc=        87 Op1=[0x01000000] Op2=[0x00000000] W[W,30= 0x00ffffff] [_,0x01000eb7]   79     PC=(0x800001ac,0x800001a8,0x800001a4) [13, 55, 19], WB: DASM(4070df13)
Cyc=        88 Op1=[0x01000000] Op2=[0xffffffff] W[W,29= 0x01000000] [_,0xfffe8e93]   80     PC=(0x800001b0,0x800001ac,0x800001a8) [13, 19, 55], WB: DASM(01000eb7)
Cyc=        89 Op1=[0x00000000] Op2=[0x00000009] W[W,29= 0x00ffffff] [_,0x00900193]   81     PC=(0x800001b4,0x800001b0,0x800001ac) [63, 19, 19], WB: DASM(fffe8e93)
Cyc=        90 Op1=[0x00ffffff] Op2=[0x00ffffff] W[W, 3= 0x00000009] [_,0x21df1063]   82     PC=(0x800001b8,0x800001b4,0x800001b0) [37, 99, 19], WB: DASM(00900193)
Cyc=        91 Op1=[0x80000000] Op2=[0x00000000] W[_, 0= 0x01fffffe] [_,0x800000b7]   83     PC=(0x800001bc,0x800001b8,0x800001b4) [13, 55, 99], WB: DASM(21df1063)
Cyc=        92 Op1=[0x80000000] Op2=[0xffffffff] W[W, 1= 0x80000000] [_,0xfff08093]   84     PC=(0x800001c0,0x800001bc,0x800001b8) [13, 19, 55], WB: DASM(800000b7)
Cyc=        93 Op1=[0x7fffffff] Op2=[0x0000040e] W[W, 1= 0x7fffffff] [_,0x40e0df13]   85     PC=(0x800001c4,0x800001c0,0x800001bc) [37, 19, 19], WB: DASM(fff08093)
Cyc=        94 Op1=[0x00020000] Op2=[0x00000000] W[W,30= 0x0001ffff] [_,0x00020eb7]   86     PC=(0x800001c8,0x800001c4,0x800001c0) [13, 55, 19], WB: DASM(40e0df13)
Cyc=        95 Op1=[0x00020000] Op2=[0xffffffff] W[W,29= 0x00020000] [_,0xfffe8e93]   87     PC=(0x800001cc,0x800001c8,0x800001c4) [13, 19, 55], WB: DASM(00020eb7)
Cyc=        96 Op1=[0x00000000] Op2=[0x0000000a] W[W,29= 0x0001ffff] [_,0x00a00193]   88     PC=(0x800001d0,0x800001cc,0x800001c8) [63, 19, 19], WB: DASM(fffe8e93)
Cyc=        97 Op1=[0x0001ffff] Op2=[0x0001ffff] W[W, 3= 0x0000000a] [_,0x1fdf1263]   89     PC=(0x800001d4,0x800001d0,0x800001cc) [37, 99, 19], WB: DASM(00a00193)
Cyc=        98 Op1=[0x80000000] Op2=[0x00000000] W[_, 4= 0x0003fffe] [_,0x800000b7]   90     PC=(0x800001d8,0x800001d4,0x800001d0) [13, 55, 99], WB: DASM(1fdf1263)
Cyc=        99 Op1=[0x80000000] Op2=[0xffffffff] W[W, 1= 0x80000000] [_,0xfff08093]   91     PC=(0x800001dc,0x800001d8,0x800001d4) [13, 19, 55], WB: DASM(800000b7)
Cyc=       100 Op1=[0x7fffffff] Op2=[0x0000041f] W[W, 1= 0x7fffffff] [_,0x41f0df13]   92     PC=(0x800001e0,0x800001dc,0x800001d8) [13, 19, 19], WB: DASM(fff08093)
Cyc=       101 Op1=[0x00000000] Op2=[0x00000000] W[W,30= 0x00000000] [_,0x00000e93]   93     PC=(0x800001e4,0x800001e0,0x800001dc) [13, 19, 19], WB: DASM(41f0df13)
Cyc=       102 Op1=[0x00000000] Op2=[0x0000000b] W[W,29= 0x00000000] [_,0x00b00193]   94     PC=(0x800001e8,0x800001e4,0x800001e0) [63, 19, 19], WB: DASM(00000e93)
Cyc=       103 Op1=[0x00000000] Op2=[0x00000000] W[W, 3= 0x0000000b] [_,0x1ddf1663]   95     PC=(0x800001ec,0x800001e8,0x800001e4) [37, 99, 19], WB: DASM(00b00193)
Cyc=       104 Op1=[0x81818000] Op2=[0x00000000] W[_,12= 0x00000000] [_,0x818180b7]   96     PC=(0x800001f0,0x800001ec,0x800001e8) [13, 55, 99], WB: DASM(1ddf1663)
Cyc=       105 Op1=[0x81818000] Op2=[0x00000181] W[W, 1= 0x81818000] [_,0x18108093]   97     PC=(0x800001f4,0x800001f0,0x800001ec) [13, 19, 55], WB: DASM(818180b7)
Cyc=       106 Op1=[0x81818181] Op2=[0x00000400] W[W, 1= 0x81818181] [_,0x4000df13]   98     PC=(0x800001f8,0x800001f4,0x800001f0) [37, 19, 19], WB: DASM(18108093)
Cyc=       107 Op1=[0x81818000] Op2=[0x00000000] W[W,30= 0x81818181] [_,0x81818eb7]   99     PC=(0x800001fc,0x800001f8,0x800001f4) [13, 55, 19], WB: DASM(4000df13)
Cyc=       108 Op1=[0x81818000] Op2=[0x00000181] W[W,29= 0x81818000] [_,0x181e8e93]  100     PC=(0x80000200,0x800001fc,0x800001f8) [13, 19, 55], WB: DASM(81818eb7)
Cyc=       109 Op1=[0x00000000] Op2=[0x0000000c] W[W,29= 0x81818181] [_,0x00c00193]  101     PC=(0x80000204,0x80000200,0x800001fc) [63, 19, 19], WB: DASM(181e8e93)
Cyc=       110 Op1=[0x81818181] Op2=[0x81818181] W[W, 3= 0x0000000c] [_,0x1bdf1863]  102     PC=(0x80000208,0x80000204,0x80000200) [37, 99, 19], WB: DASM(00c00193)
Cyc=       111 Op1=[0x81818000] Op2=[0x00000000] W[_,16= 0x03030302] [_,0x818180b7]  103     PC=(0x8000020c,0x80000208,0x80000204) [13, 55, 99], WB: DASM(1bdf1863)
Cyc=       112 Op1=[0x81818000] Op2=[0x00000181] W[W, 1= 0x81818000] [_,0x18108093]  104     PC=(0x80000210,0x8000020c,0x80000208) [13, 19, 55], WB: DASM(818180b7)
Cyc=       113 Op1=[0x81818181] Op2=[0x00000401] W[W, 1= 0x81818181] [_,0x4010df13]  105     PC=(0x80000214,0x80000210,0x8000020c) [37, 19, 19], WB: DASM(18108093)
Cyc=       114 Op1=[0xc0c0c000] Op2=[0x00000000] W[W,30= 0xc0c0c0c0] [_,0xc0c0ceb7]  106     PC=(0x80000218,0x80000214,0x80000210) [13, 55, 19], WB: DASM(4010df13)
Cyc=       115 Op1=[0xc0c0c000] Op2=[0x000000c0] W[W,29= 0xc0c0c000] [_,0x0c0e8e93]  107     PC=(0x8000021c,0x80000218,0x80000214) [13, 19, 55], WB: DASM(c0c0ceb7)
Cyc=       116 Op1=[0x00000000] Op2=[0x0000000d] W[W,29= 0xc0c0c0c0] [_,0x00d00193]  108     PC=(0x80000220,0x8000021c,0x80000218) [63, 19, 19], WB: DASM(0c0e8e93)
Cyc=       117 Op1=[0xc0c0c0c0] Op2=[0xc0c0c0c0] W[W, 3= 0x0000000d] [_,0x19df1a63]  109     PC=(0x80000224,0x80000220,0x8000021c) [37, 99, 19], WB: DASM(00d00193)
Cyc=       118 Op1=[0x81818000] Op2=[0x00000000] W[_,20= 0x81818180] [_,0x818180b7]  110     PC=(0x80000228,0x80000224,0x80000220) [13, 55, 99], WB: DASM(19df1a63)
Cyc=       119 Op1=[0x81818000] Op2=[0x00000181] W[W, 1= 0x81818000] [_,0x18108093]  111     PC=(0x8000022c,0x80000228,0x80000224) [13, 19, 55], WB: DASM(818180b7)
Cyc=       120 Op1=[0x81818181] Op2=[0x00000407] W[W, 1= 0x81818181] [_,0x4070df13]  112     PC=(0x80000230,0x8000022c,0x80000228) [37, 19, 19], WB: DASM(18108093)
Cyc=       121 Op1=[0xff030000] Op2=[0x00000000] W[W,30= 0xff030303] [_,0xff030eb7]  113     PC=(0x80000234,0x80000230,0x8000022c) [13, 55, 19], WB: DASM(4070df13)
Cyc=       122 Op1=[0xff030000] Op2=[0x00000303] W[W,29= 0xff030000] [_,0x303e8e93]  114     PC=(0x80000238,0x80000234,0x80000230) [13, 19, 55], WB: DASM(ff030eb7)
Cyc=       123 Op1=[0x00000000] Op2=[0x0000000e] W[W,29= 0xff030303] [_,0x00e00193]  115     PC=(0x8000023c,0x80000238,0x80000234) [63, 19, 19], WB: DASM(303e8e93)
Cyc=       124 Op1=[0xff030303] Op2=[0xff030303] W[W, 3= 0x0000000e] [_,0x17df1c63]  116     PC=(0x80000240,0x8000023c,0x80000238) [37, 99, 19], WB: DASM(00e00193)
Cyc=       125 Op1=[0x81818000] Op2=[0x00000000] W[_,24= 0xfe060606] [_,0x818180b7]  117     PC=(0x80000244,0x80000240,0x8000023c) [13, 55, 99], WB: DASM(17df1c63)
Cyc=       126 Op1=[0x81818000] Op2=[0x00000181] W[W, 1= 0x81818000] [_,0x18108093]  118     PC=(0x80000248,0x80000244,0x80000240) [13, 19, 55], WB: DASM(818180b7)
Cyc=       127 Op1=[0x81818181] Op2=[0x0000040e] W[W, 1= 0x81818181] [_,0x40e0df13]  119     PC=(0x8000024c,0x80000248,0x80000244) [37, 19, 19], WB: DASM(18108093)
Cyc=       128 Op1=[0xfffe0000] Op2=[0x00000000] W[W,30= 0xfffe0606] [_,0xfffe0eb7]  120     PC=(0x80000250,0x8000024c,0x80000248) [13, 55, 19], WB: DASM(40e0df13)
Cyc=       129 Op1=[0xfffe0000] Op2=[0x00000606] W[W,29= 0xfffe0000] [_,0x606e8e93]  121     PC=(0x80000254,0x80000250,0x8000024c) [13, 19, 55], WB: DASM(fffe0eb7)
Cyc=       130 Op1=[0x00000000] Op2=[0x0000000f] W[W,29= 0xfffe0606] [_,0x00f00193]  122     PC=(0x80000258,0x80000254,0x80000250) [63, 19, 19], WB: DASM(606e8e93)
Cyc=       131 Op1=[0xfffe0606] Op2=[0xfffe0606] W[W, 3= 0x0000000f] [_,0x15df1e63]  123     PC=(0x8000025c,0x80000258,0x80000254) [37, 99, 19], WB: DASM(00f00193)
Cyc=       132 Op1=[0x81818000] Op2=[0x00000000] W[_,28= 0xfffc0c0c] [_,0x818180b7]  124     PC=(0x80000260,0x8000025c,0x80000258) [13, 55, 99], WB: DASM(15df1e63)
Cyc=       133 Op1=[0x81818000] Op2=[0x00000181] W[W, 1= 0x81818000] [_,0x18108093]  125     PC=(0x80000264,0x80000260,0x8000025c) [13, 19, 55], WB: DASM(818180b7)
