Instantiated DTM.
Cyc=       114 Op1=[0x80002b0c] Op2=[0xfffffffc] W[W,15= 0x80002b0c] [_,0xfee7ae23]  101     PC=(0x800017cc,0x800017c8,0x800017c4) [63, 35, 19], WB: DASM(00478793)
Cyc=       115 Op1=[0x80002b0c] Op2=[0x80002b44] W[_,28= 0x80002b08] [_,0xfec7ece3]  102   B PC=(0x800017d0,0x800017cc,0x800017c8) [67, 99, 35], WB: DASM(fee7ae23)
Cyc=       116 Op1=[0x80001838] Op2=[0x00000000] W[_,25= 0x00005650] [_,0x00008067]  103   R PC=(0x800017c4,0x800017d0,0x800017cc) [13, 51, 99], WB: DASM(fec7ece3)
Cyc=       117 Op1=[0x80002b0c] Op2=[0x00000004] W[_, 0= 0x800017c4] [_,0x00478793]  104     PC=(0x800017c8,0x800017c4,0x800017d0) [23, 19, 51], WB: DASM(00004033)
Cyc=       118 Op1=[0x80002b10] Op2=[0xfffffffc] W[W,15= 0x80002b10] [_,0xfee7ae23]  104     PC=(0x800017cc,0x800017c8,0x800017c4) [63, 35, 19], WB: DASM(00478793)
Cyc=       119 Op1=[0x80002b10] Op2=[0x80002b44] W[_,28= 0x80002b0c] [_,0xfec7ece3]  105   B PC=(0x800017d0,0x800017cc,0x800017c8) [67, 99, 35], WB: DASM(fee7ae23)
Cyc=       120 Op1=[0x80001838] Op2=[0x00000000] W[_,25= 0x00005654] [_,0x00008067]  106   R PC=(0x800017c4,0x800017d0,0x800017cc) [13, 51, 99], WB: DASM(fec7ece3)
Cyc=       121 Op1=[0x80002b10] Op2=[0x00000004] W[_, 0= 0x800017c4] [_,0x00478793]  107     PC=(0x800017c8,0x800017c4,0x800017d0) [23, 19, 51], WB: DASM(00004033)
Cyc=       122 Op1=[0x80002b14] Op2=[0xfffffffc] W[W,15= 0x80002b14] [_,0xfee7ae23]  107     PC=(0x800017cc,0x800017c8,0x800017c4) [63, 35, 19], WB: DASM(00478793)
Cyc=       123 Op1=[0x80002b14] Op2=[0x80002b44] W[_,28= 0x80002b10] [_,0xfec7ece3]  108   B PC=(0x800017d0,0x800017cc,0x800017c8) [67, 99, 35], WB: DASM(fee7ae23)
Cyc=       124 Op1=[0x80001838] Op2=[0x00000000] W[_,25= 0x00005658] [_,0x00008067]  109   R PC=(0x800017c4,0x800017d0,0x800017cc) [13, 51, 99], WB: DASM(fec7ece3)
Cyc=       125 Op1=[0x80002b14] Op2=[0x00000004] W[_, 0= 0x800017c4] [_,0x00478793]  110     PC=(0x800017c8,0x800017c4,0x800017d0) [23, 19, 51], WB: DASM(00004033)
